model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc
XGB,fold_0,0.8582349203787932,0.9457274826789839,"[[353 105]
 [ 47 819]]",0.9150837988826815,25.610031843185425,0.019566059112548828,0.11480362537764355,0.9652363758501973,0.8851963746223565,0.8863636363636364,0.019566059112548828
XGB,fold_1,0.8550228425628044,0.9480369515011547,"[[349 109]
 [ 45 821]]",0.9142538975501113,26.075234413146973,0.016779422760009766,0.11631419939577037,0.9652363758501973,0.8836858006042296,0.8827956989247312,0.016779422760009766
XGB,fold_2,0.8407046401161794,0.9434180138568129,"[[338 120]
 [ 49 817]]",0.906267332224071,25.81606888771057,0.016355514526367188,0.12764350453172202,0.9659081367033336,0.872356495468278,0.871931696905016,0.016355514526367188
XGB,fold_3,0.8654001647454783,0.9364896073903002,"[[363  94]
 [ 55 811]]",0.9158667419536984,25.620948791503906,0.016743183135986328,0.1126228269085412,0.9659109991603695,0.8873771730914588,0.8961325966850828,0.016743183135986328
XGB,fold_4,0.8610844396379642,0.9387990762124712,"[[358  99]
 [ 53 813]]",0.9145106861642295,25.345868349075317,0.019223451614379883,0.11489040060468636,0.96607892527288,0.8851095993953136,0.8914473684210527,0.019223451614379883
XGB,fold_5,0.8417862250544519,0.9330254041570438,"[[343 114]
 [ 58 808]]",0.9038031319910513,25.679259061813354,0.016484975814819336,0.13000755857898716,0.9665827036104114,0.8699924414210128,0.8763557483731019,0.016484975814819336
XGB,fold_6,0.8590175408452554,0.9434180138568129,"[[354 103]
 [ 49 817]]",0.9148936170212765,26.137627124786377,0.017142534255981445,0.11489040060468636,0.964399664147775,0.8851095993953136,0.8880434782608696,0.017142534255981445
XGB,fold_7,0.8644880003638551,0.9434180138568129,"[[359  98]
 [ 49 817]]",0.9174620999438517,25.712451219558716,0.017624616622924805,0.11111111111111116,0.9667506297229219,0.8888888888888888,0.892896174863388,0.017624616622924805
XGB,fold_8,0.8707177546100939,0.9515011547344111,"[[361  96]
 [ 42 824]]",0.9227323628219486,25.46259331703186,0.016872882843017578,0.10430839002267578,0.9654911838790932,0.8956916099773242,0.8956521739130435,0.016872882843017578
XGB,fold_9,0.860193856172855,0.9387283236994219,"[[358 100]
 [ 53 812]]",0.9138998311761396,25.554243087768555,0.01668715476989746,0.11564625850340138,0.96607892527288,0.8843537414965986,0.8903508771929824,0.01668715476989746
